id,question,option_a,option_b,option_c,option_d,correct_option,explanation,topic,difficulty
828,Quelle clause permet de trier le résultat ? (v69),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
829,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v69),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
830,Quel mot-clé restaure les permissions par défaut sur une table ? (v69),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
851,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v72),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
852,Quel mot-clé modifie des lignes existantes dans une table ? (v72),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
853,La contrainte UNIQUE assure : (v72),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
854,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v72),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
855,La transaction ACID 'I' signifie : (v72),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
856,Quel niveau d'isolation permet les lectures non répétables ? (v72),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
857,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v72),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
858,Quelle clause permet de trier le résultat ? (v72),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
859,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v72),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
860,Quel mot-clé restaure les permissions par défaut sur une table ? (v72),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
881,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v75),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
882,Quel mot-clé modifie des lignes existantes dans une table ? (v75),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
883,La contrainte UNIQUE assure : (v75),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
884,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v75),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
885,La transaction ACID 'I' signifie : (v75),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
886,Quel niveau d'isolation permet les lectures non répétables ? (v75),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
887,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v75),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
888,Quelle clause permet de trier le résultat ? (v75),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
889,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v75),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
890,Quel mot-clé restaure les permissions par défaut sur une table ? (v75),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
911,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v78),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
912,Quel mot-clé modifie des lignes existantes dans une table ? (v78),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
913,La contrainte UNIQUE assure : (v78),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
914,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v78),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
915,La transaction ACID 'I' signifie : (v78),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
916,Quel niveau d'isolation permet les lectures non répétables ? (v78),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
917,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v78),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
918,Quelle clause permet de trier le résultat ? (v78),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
919,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v78),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
920,Quel mot-clé restaure les permissions par défaut sur une table ? (v78),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
941,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v81),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
942,Quel mot-clé modifie des lignes existantes dans une table ? (v81),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
943,La contrainte UNIQUE assure : (v81),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
944,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v81),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
945,La transaction ACID 'I' signifie : (v81),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
946,Quel niveau d'isolation permet les lectures non répétables ? (v81),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
947,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v81),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
948,Quelle clause permet de trier le résultat ? (v81),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
949,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v81),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
950,Quel mot-clé restaure les permissions par défaut sur une table ? (v81),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
971,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v84),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
972,Quel mot-clé modifie des lignes existantes dans une table ? (v84),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
973,La contrainte UNIQUE assure : (v84),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
974,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v84),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
975,La transaction ACID 'I' signifie : (v84),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
976,Quel niveau d'isolation permet les lectures non répétables ? (v84),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
977,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v84),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
978,Quelle clause permet de trier le résultat ? (v84),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
979,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v84),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
980,Quel mot-clé restaure les permissions par défaut sur une table ? (v84),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
1001,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v87),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
1002,Quel mot-clé modifie des lignes existantes dans une table ? (v87),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
1003,La contrainte UNIQUE assure : (v87),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
1004,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v87),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
1005,La transaction ACID 'I' signifie : (v87),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
1006,Quel niveau d'isolation permet les lectures non répétables ? (v87),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
1007,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v87),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
1008,Quelle clause permet de trier le résultat ? (v87),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
1009,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v87),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
1010,Quel mot-clé restaure les permissions par défaut sur une table ? (v87),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
1031,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v90),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
1032,Quel mot-clé modifie des lignes existantes dans une table ? (v90),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
1033,La contrainte UNIQUE assure : (v90),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
1034,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v90),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
1035,La transaction ACID 'I' signifie : (v90),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
1036,Quel niveau d'isolation permet les lectures non répétables ? (v90),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
1037,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v90),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
1038,Quelle clause permet de trier le résultat ? (v90),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
1039,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v90),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
1040,Quel mot-clé restaure les permissions par défaut sur une table ? (v90),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
1061,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v93),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
1062,Quel mot-clé modifie des lignes existantes dans une table ? (v93),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
1063,La contrainte UNIQUE assure : (v93),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
1064,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v93),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
1065,La transaction ACID 'I' signifie : (v93),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
1066,Quel niveau d'isolation permet les lectures non répétables ? (v93),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
1067,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v93),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
1068,Quelle clause permet de trier le résultat ? (v93),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
1069,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v93),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
1070,Quel mot-clé restaure les permissions par défaut sur une table ? (v93),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
1091,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v96),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
1092,Quel mot-clé modifie des lignes existantes dans une table ? (v96),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
1093,La contrainte UNIQUE assure : (v96),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
1094,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v96),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
1095,La transaction ACID 'I' signifie : (v96),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
1096,Quel niveau d'isolation permet les lectures non répétables ? (v96),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
1097,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v96),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
1098,Quelle clause permet de trier le résultat ? (v96),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
1099,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v96),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
1100,Quel mot-clé restaure les permissions par défaut sur une table ? (v96),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
1121,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v99),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
1122,Quel mot-clé modifie des lignes existantes dans une table ? (v99),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
1123,La contrainte UNIQUE assure : (v99),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
1124,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v99),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
1125,La transaction ACID 'I' signifie : (v99),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
1126,Quel niveau d'isolation permet les lectures non répétables ? (v99),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
1127,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v99),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
1128,Quelle clause permet de trier le résultat ? (v99),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
1129,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v99),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
1130,Quel mot-clé restaure les permissions par défaut sur une table ? (v99),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
1151,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v102),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
1152,Quel mot-clé modifie des lignes existantes dans une table ? (v102),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
1153,La contrainte UNIQUE assure : (v102),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
1154,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v102),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
1155,La transaction ACID 'I' signifie : (v102),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
1156,Quel niveau d'isolation permet les lectures non répétables ? (v102),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
1157,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v102),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
1158,Quelle clause permet de trier le résultat ? (v102),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
1159,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v102),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
1160,Quel mot-clé restaure les permissions par défaut sur une table ? (v102),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
1181,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v105),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
1182,Quel mot-clé modifie des lignes existantes dans une table ? (v105),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
1183,La contrainte UNIQUE assure : (v105),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
1184,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v105),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
1185,La transaction ACID 'I' signifie : (v105),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
1186,Quel niveau d'isolation permet les lectures non répétables ? (v105),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
1187,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v105),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
1188,Quelle clause permet de trier le résultat ? (v105),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
1189,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v105),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
1190,Quel mot-clé restaure les permissions par défaut sur une table ? (v105),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
1211,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v108),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
1212,Quel mot-clé modifie des lignes existantes dans une table ? (v108),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
1213,La contrainte UNIQUE assure : (v108),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
1214,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v108),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
1215,La transaction ACID 'I' signifie : (v108),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
1216,Quel niveau d'isolation permet les lectures non répétables ? (v108),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
1217,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v108),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
1218,Quelle clause permet de trier le résultat ? (v108),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
1219,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v108),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
1220,Quel mot-clé restaure les permissions par défaut sur une table ? (v108),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
1241,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v111),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
1242,Quel mot-clé modifie des lignes existantes dans une table ? (v111),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
1243,La contrainte UNIQUE assure : (v111),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
1244,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v111),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
1245,La transaction ACID 'I' signifie : (v111),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
1246,Quel niveau d'isolation permet les lectures non répétables ? (v111),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
1247,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v111),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
1248,Quelle clause permet de trier le résultat ? (v111),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
1249,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v111),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
1250,Quel mot-clé restaure les permissions par défaut sur une table ? (v111),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
1271,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v114),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
